CLASSIFICATION,COUNTY
Rural,Alameda County
Suburban,Alpine County
Suburban,Amador County
Suburban,Butte County
Suburban,Calaveras County
Suburban,Colusa County
Rural,Contra Costa County
Rural,Del Norte County
Rural,El Dorado County
Urban,Fresno County
Rural,Glenn County
Rural,Humboldt County
Urban,Imperial County
Rural,Inyo County
Suburban,Kings County
Suburban,Kern County
Suburban,Lake County
Rural,Lassen County
Urban,Los Angeles County
Suburban,Madera County
Urban,Marin County
Rural,Mariposa County
Suburban,Mendocino County
Urban,Merced County
Rural,Modoc County
Rural,Mono County
Suburban,Monterey County
Suburban,Napa County
Suburban,Nevada County
Urban,Orange County
Suburban,Placer County
Rural,Plumas County
Urban,Riverside County
Urban,Sacramento County
Urban,San Bernardino County
Suburban,San Benito County
Urban,San Diego County
Rural,San Francisco County
Rural,San Joaquin County
Urban,San Luis Obispo County
Rural,San Mateo County
Suburban,Santa Barbara County
Urban,Santa Clara County
Suburban,Santa Cruz County
Suburban,Shasta County
Rural,Sierra County
Rural,Siskiyou County
Urban,Solano County
Suburban,Sonoma County
Suburban,Stanislaus County
Suburban,Sutter County
Rural,Tehama County
Rural,Trinity County
Suburban,Tulare County
Rural,Tuolumne County
Urban,Ventura County
Urban,Yolo County
Suburban,Yuba County
